counter,StopId,StopName,StreetNum,OnStreet,AtStreet,UTAStopID,latitude,longitude
3848,23593,STATE ST @ 2272 S ,2272,S STATE ST ,SUGARMONT DR ,198147,40.72156896,-111.888419
3849,23594,STATE ST @ 2229 S ,2229,S STATE ST ,US-89 ,198148,40.72259197,-111.888091
3850,23607,NORTH TEMPLE @ 1458 W ,1458,W NORTH TEMPLE ,GARSIDE ST ,198149,40.77167102,-111.9326041
3851,23600,3600 W @ 12750 S ,12750,S 3600 W ,UNNAMED ST ,198151,40.51946502,-111.9768079
3852,23601,5400 S @ 4266 W ,4266,W 5400 S ,S 4270 W ,198152,40.65285101,-111.9927581
3853,23602,5400 S @ 4406 W ,4406,W 5400 S ,S 4420 W ,198153,40.65285197,-111.996088
3854,23603,5400 S @ 4652 W ,4652,W 5400 S ,S 4620 W ,198154,40.65288601,-112.001619
3855,23604,5400 S @ 4645 W ,4645,W 5400 S ,S 4620 W ,198155,40.65265499,-112.00153
3856,23605,5400 S @ 4395 W ,4395,W 5400 S ,S 4620 W ,198156,40.65263404,-111.995881
3857,23606,5400 S @ 4299 W ,4299,W 5400 S ,S 4320 W ,198157,40.65263396,-111.993568
3858,23609,5400 S @ 5626 W ,5626,W 5400 S ,S 4320 W ,198158,40.653181,-112.025261
3859,23620,12300 S @ 192 E ,192,E 12300 S ,S 4320 W ,198159,40.52664099,-111.8846159
3860,23623,2200 W @ 1871 N ,1871,N 2200 W ,S 4320 W ,198160,40.80809403,-111.953651
3861,23624,7800 S @ 3711 W ,3711,W 7800 S ,NEW BINGHAM HWY ,198161,40.60936001,-111.9795659
3862,23641,FORT UNION BLVD @ 26 W ,26,W FORT UNION BLVD ,NEW BINGHAM HWY ,198162,40.62079,-111.891875
3863,23642,FORT UNION BLVD @ 32 E ,32,E FORT UNION BLVD ,NEW BINGHAM HWY ,198163,40.62069402,-111.889765
3864,23626,8600 S @ 171 W ,171,W 8600 S ,NEW BINGHAM HWY ,198164,40.594984,-111.896609
3865,23628,NORTH TEMPLE @ 790 W ,790,W NORTH TEMPLE ,N 800 W ,198165,40.77163598,-111.913731
3866,23629,NORTH TEMPLE @ 988 W ,988,W NORTH TEMPLE ,N 1000 W ,198166,40.77165298,-111.9194161
3867,23630,NORTH TEMPLE @ 1491 W ,1491,W NORTH TEMPLE ,GARSIDE ST ,198167,40.77134499,-111.933475
3868,23631,NORTH TEMPLE @ 1293 W ,1293,W NORTH TEMPLE ,N 1300 W ,198168,40.77138701,-111.928781
3869,23632,NORTH TEMPLE @ 1193 W ,1193,W NORTH TEMPLE ,UNNAMED ST ,198169,40.77136903,-111.92539
3870,23633,NORTH TEMPLE @ 1009 W ,1009,W NORTH TEMPLE ,N 1000 W ,198170,40.77138198,-111.919962
3871,23634,NORTH TEMPLE @ 807 W ,807,W NORTH TEMPLE ,N 800 W ,198171,40.77138096,-111.914287
3872,23635,NORTH TEMPLE @ 617 W ,617,W NORTH TEMPLE ,N 600 W ,198172,40.77139096,-111.908516
3873,23658,2300 E @ 3663 S ,3663,S 2300 E ,N 600 W ,198181,40.69126897,-111.824419
3874,23660,2300 E @ 4657 S ,4657,S 2300 E ,HOLLADAY BLVD ,198182,40.66914704,-111.82454
3875,23666,9091 S @ 1098 E ,879,E 9091 S ,UT-209 ,198184,40.58714602,-111.8640631
3876,23686,900 W @ 1967 S ,1967,S 900 W ,UT-209 ,198186,40.72778697,-111.9167611
3877,23687,900 W @ 1976 S ,1976,S 900 W ,UT-209 ,198187,40.727621,-111.917003
3878,23688,RIVER FRONT PKY @ 10624 S ,10624,S RIVER FRONT PKY ,UT-209 ,198188,40.55828697,-111.910393
3879,23676,RIVER FRONT PKY @ 10749 S ,10749,S RIVER FRONT PKY ,UT-209 ,198193,40.55690496,-111.911875
3880,23678,RIVER FRONT PKY @ 10637 S ,10637,S RIVER FRONT PKY ,UT-209 ,198194,40.55823399,-111.910143
3881,23680,11400 S @ 1236 W ,1236,W 11400 S ,UT-209 ,198196,40.54427698,-111.927284
3882,23681,CENTENNIAL PKY @ 10152 S ,10152,S CENTENNIAL PKY ,UT-209 ,198197,40.566986,-111.8958161
3883,23682,CENTENNIAL PKY @ 10253 S ,10253,S CENTENNIAL PKY ,UT-209 ,198198,40.56528697,-111.894953
3884,23683,CENTENNIAL PKY @ 10115 S ,10115,S CENTENNIAL PKY ,UNNAMED ST ,198199,40.56781098,-111.894938
3885,23684,SOUTH TOWNE MALL @ 10300 S ,10300,S SOUTH TOWNE MALL ,PARKING LOT ,198200,40.56325001,-111.8944401
3886,23697,1300 E @ 13297 S ,13297,S 1300 E ,NASHI LN ,198204,40.50899399,-111.853223
3887,23698,9000 S @ 732 W ,732,W 9000 S ,NASHI LN ,198205,40.58786596,-111.911033
3888,23699,WEST TEMPLE @ 40 S ,40,S WEST TEMPLE ,NASHI LN ,198206,40.76845002,-111.894116
3889,23740,OQUIRRH LAKE RD @ 11023 S ,11023,S OQUIRRH LAKE RD ,LAKE BRIDGE DR ,198207,40.55074101,-111.996502
3890,23741,OQUIRRH LAKE RD (4500 W) @ 11099 S ,0,S OQUIRRH LAKE RD ,ISLA DAYBREAK RD ,198208,40.55342596,-111.998631
3891,23742,OQUIRRH LAKE RD (4500 W) @ 11126 S ,0,S OQUIRRH LAKE RD ,LAKE BRIDGE DR ,198209,40.55063998,-111.9965799
3892,23713,10400 S @ 4012 W ,4012,W 10400 S ,LAKE BRIDGE DR ,198210,40.56246097,-111.98704
3893,23714,SOUTH JORDAN PKY @ 4206 W ,4206,W SOUTH JORDAN PKY ,W 10400 S ,198211,40.56101496,-111.991555
3894,23715,SOUTH JORDAN PKY @ 4312 W ,4312,W SOUTH JORDAN PKY ,W 10400 S ,198212,40.56014604,-111.993613
3895,23716,SOUTH JORDAN PKY @ 4454 W ,4454,W SOUTH JORDAN PKY ,W 10400 S ,198213,40.56114697,-111.99737
3896,23717,SOUTH JORDAN PKY @ 4518 W ,4518,W SOUTH JORDAN PKY ,W 10400 S ,198214,40.56195497,-111.999037
3897,23718,SOUTH JORDAN PKY @ 4483 W ,4483,W SOUTH JORDAN PKY ,W 10400 S ,198215,40.56113697,-111.997954
3898,23711,10400 S @ 3788 W ,3788,W 10400 S ,W 10400 S ,198217,40.56199298,-111.98171
3899,23710,10400 S @ 3540 W ,3540,W 10400 S ,W 10400 S ,198218,40.56206497,-111.9735331
3900,23707,11800 S @ 5794 W ,5794,W 11800 S ,W 10400 S ,198221,40.53704599,-112.027604
3901,23706,11800 S @ 5895 W ,5895,W 11800 S ,SUNNY STONE DR ,198222,40.53684396,-112.029371
3902,23705,11800 S @ 5959 W ,5959,W 11800 S ,S WINDSTONE DR ,198223,40.536838,-112.0315741
3903,23702,LONE PEAK PKY @ 11875 S ,11875,S LONE PEAK PKY ,S WINDSTONE DR ,198226,40.53551301,-111.897005
3904,23703,LONE PEAK PKY @ 12031 S ,12031,S LONE PEAK PKY ,S WINDSTONE DR ,198227,40.53248903,-111.896332
3905,23704,LONE PEAK PKY @ 12236 S ,12236,S LONE PEAK PKY ,S WINDSTONE DR ,198228,40.52824599,-111.895865
3906,23719,SOUTH JORDAN PKY @ 4421 W ,4421,W SOUTH JORDAN PKY ,TOP VIEW RD ,198229,40.56045396,-111.996521
3907,23720,SOUTH JORDAN PKY @ 4341 W ,4341,W SOUTH JORDAN PKY ,INDIGO SKY WAY ,198230,40.55984696,-111.994575
